FrameID,StartTime,EndTime,Duration,MOSI_Bytes,MISO_Bytes
21,0.241672606,0.241672684,7.80E-08,,
22,0.241997874,0.242390076,0.000392202,0x4C 0x05 0xFA 0x80 0x00 0x02 0xDF 0xE3 0x2D 0xFF 0x90 0x14 0x64 0x12 0x01 0x32 0x40 0xB3 0xF4 0x07 0x62 0x12 0x02 0x32 0x40 0xB3 0xF0 0x07 0x41 0x12 0x00 0x33 0x60 0xB2 0x60 0x92 0x40 0x3B 0xFE 0x0F 0x3C 0x78 0x00 0x00 0xD4 0x14 0x22 0x14 0x98 0x11 0xB7 0x11 0x58 0x11 0x26 0x33,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
23,0.243997814,0.24439002,0.000392206,0x4C 0x05 0xFA 0x80 0x02 0x03 0x10 0x40 0xB4 0x40 0xB8 0x60 0xB4 0x03 0x32 0x60 0xA5 0x77 0x11 0xF5 0x11 0x40 0xB3 0x10 0x33 0x0A 0x30 0x60 0xB4 0xE0 0xB4 0x00 0x36 0xFF 0xE3 0x07 0xFF 0x40 0x98 0x27 0x33 0x40 0xB4 0x41 0xB8 0x60 0xB4 0x60 0xA5 0x00 0x31 0x00 0x85 0x00 0x74 0x55,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
24,0.24510524,0.245105318,7.80E-08,,
25,0.245544374,0.245544452,7.80E-08,,
26,0.245633378,0.245633456,7.80E-08,,
27,0.245997758,0.246389962,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x03 0x41 0x2E 0xFF 0xE3 0x41 0xFF 0x6E 0x11 0x0A 0x30 0xC0 0xA3 0x60 0xB8 0x10 0x33 0x60 0xB4 0xE0 0xB4 0xFF 0xE3 0xF2 0xFE 0x41 0x98 0x26 0x33 0x40 0xB4 0x60 0xB4 0x60 0xA5 0x00 0x31 0x00 0x85 0x00 0x74 0xFF 0xE3 0x2E 0xFF 0x60 0x98 0x0A 0x30 0xC0 0xA3,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
28,0.247997702,0.248389904,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x03 0x72 0x10 0x33 0x60 0xB4 0xE0 0xB4 0xFF 0xE3 0xE0 0xFE 0x02 0x14 0x94 0x14 0xD4 0x14 0x47 0x6D 0x0B 0x6D 0xFF 0xE3 0x95 0xFF 0x78 0x10 0x58 0x10 0x40 0x3D 0x40 0xB3 0x27 0x32 0x40 0xB3 0x74 0x10 0x40 0xA3 0x21 0x0C 0x41 0x3D 0x16 0x08 0xD8 0x10 0x00,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
29,0.249997642,0.250389846,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x03 0xA3 0x35 0x9B 0x6C 0xD7 0x6C 0x06 0xE4 0x0F 0x00 0xE0 0x82 0x00 0x22 0x82 0x64 0x22 0x5B 0xD0 0x60 0xE0 0xA3 0xC5 0x74 0xF9 0x0B 0x0F 0x25 0x03 0xEA 0x50 0x01 0x55 0x75 0xFF 0x26 0xD6 0x64 0xEE 0x0B 0x68 0x10 0x10 0x32 0x0A 0x30 0x40 0xB3 0x48 0x10,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
30,0.251997586,0.252389788,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x03 0xD4 0x40 0xB3 0xFF 0xE3 0xB1 0xFE 0x94 0x14 0xCA 0x10 0x00 0x35 0x14 0x04 0x00 0x00 0x00 0x00 0x00 0x30 0x00 0xFF 0x00 0x50 0x55 0xAA 0x66 0x00 0x66 0x99 0x55 0x00 0x00 0x19 0x00 0x50 0x58 0x08 0x00 0x30 0x00 0xF8 0x00 0x50 0x00 0x62 0x00 0x50 0x00,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
