No.,Time,Source,Destination,Protocol,Length,HID Data,Info
2541,13.983232,host,1.37.1,USB,91,40fa0001021500384c05fa800204054000509b6cd76c06e40f00e08200228264225bd060e0a3c574f90b0f2503ead0045575ff26d664ee0b0c61431364132083,URB_INTERRUPT out
2542,13.98513,1.37.1,host,USB,27,,URB_INTERRUPT out
2543,13.987124,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2544,13.98716,host,1.37.1,USB,27,,URB_INTERRUPT in
2545,13.987236,host,1.37.1,USB,91,40fa0001021600384c05fa8002043600238e6420a40024fb0bc5070000d4142314076d40b8ffe332ff7d125e12413c40b3273240b327335c1260a241b87b12aa,URB_INTERRUPT out
2546,13.989129,1.37.1,host,USB,27,,URB_INTERRUPT out
2547,13.991124,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2548,13.991158,host,1.37.1,USB,27,,URB_INTERRUPT in
2549,13.991186,host,1.37.1,USB,91,40fa0001021700384c05fa800204673240b3870c403c490c423c3d08381201320033003704ea05490130040400230022ff210e3b0a0864c44540566d40695475,URB_INTERRUPT out
2550,13.993123,1.37.1,host,USB,27,,URB_INTERRUPT out
2551,13.995228,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2552,13.995309,host,1.37.1,USB,27,,URB_INTERRUPT in
2553,13.995514,host,1.37.1,USB,91,40fa0001021800384c05fa80020498403d810c413bab0c4f3ba90c433bb80c0135d35b9465b408443bc20c553bc00c473bce0c563bcc0c493bdb0c4c3bd90c4a,URB_INTERRUPT out
2554,13.997137,1.37.1,host,USB,27,,URB_INTERRUPT out
2555,13.999124,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2556,13.999159,host,1.37.1,USB,27,,URB_INTERRUPT in
2557,13.99921,host,1.37.1,USB,91,40fa0001021900384c05fa800204c93be80c4d3bf70c503bfb0c573bf90c513b080d523b270d533b140d543b2b0d583acd0b761110320a3040b3591140b3ffe3,URB_INTERRUPT out
2558,14.001126,1.37.1,host,USB,27,,URB_INTERRUPT out
2559,14.003123,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2560,14.003156,host,1.37.1,USB,27,,URB_INTERRUPT in
2561,14.003219,host,1.37.1,USB,91,40fa0001021a00384c05fa800204fa20fe03149414809837111035f711c76c936c1459c0920322c0b30323c264fb0bff21c6651461f40b71114198758363e40f,URB_INTERRUPT out
2562,14.005126,1.37.1,host,USB,27,,URB_INTERRUPT out
2563,14.007122,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2564,14.007159,host,1.37.1,USB,27,,URB_INTERRUPT in
2565,14.007179,host,1.37.1,USB,91,40fa0001021b00384c05fa8002052b2061a20f117b803c805d80cc749e8044748874bf8002430c6003400e600440c060054164430660024040602341c4602244,URB_INTERRUPT out
2566,14.009127,1.37.1,host,USB,27,,URB_INTERRUPT out
2567,14.011119,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2568,14.01114,host,1.37.1,USB,27,,URB_INTERRUPT in
2569,14.011275,host,1.37.1,USB,91,40fa0001021c00384c05fa8002055cd46004612144c46021424860234184604242c8605f10cd7460aabb0780981a101035dd10c36c936c3458e0820022e0a300,URB_INTERRUPT out
2570,14.013137,1.37.1,host,USB,27,,URB_INTERRUPT out
2571,14.015116,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2572,14.01514,host,1.37.1,USB,27,,URB_INTERRUPT in
2573,14.015173,host,1.37.1,USB,91,40fa0001021d00384c05fa8002058d23c664fb0bff2082651461f40ba907b65962b8a1b8476dc0989c616086002660a500256198d664fa0b6298052771070881,URB_INTERRUPT out
2574,14.017131,1.37.1,host,USB,27,,URB_INTERRUPT out
2575,14.019125,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2576,14.019157,host,1.37.1,USB,27,,URB_INTERRUPT in
2577,14.019199,host,1.37.1,USB,91,40fa0001021e00384c05fa800205be00500081005000ff005055aa66000000003000f8005000010050669955000040005000620050a04b0050a0610050080000,URB_INTERRUPT out
2578,14.021127,1.37.1,host,USB,27,,URB_INTERRUPT out
2579,14.023127,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2580,14.023158,host,1.37.1,USB,27,,URB_INTERRUPT in
